Stock,Ticker,Name,Headquarters,Employees,Industry,Incorporated,Exchange,Currency,Price,Previous Close,Change,% Change,Open,Day's High,Day's Low,52 Week High,52 Week Low,Shares Outstanding,Volume,Average Volume,Beta,Market Cap,P/E,Insturment,Last Trade Time,IPO Date,Net Income 2022,Cash 2022,Accounts Receivable 2022,Current Liabilities 2022,Average Daily Return
EASTMAN CHEMICAL COMPANY (XNYS:EMN),EMN,EASTMAN CHEMICAL COMPANY,"200 South Wilcox Drive, Po Box 511, KINGSPORT, TN, 37660 US",14500,Chemicals,1993,New York Stock Exchange,USD,82.71,81.86,0.85,1.04%,81.96,83.36,81.58,96.19,69.91,118555700,930638.00,808498,1.52,9704973000,13.96,Stock,9/6/23 23:43,1993-12-14,793000000,493000000,1050000000,NA,0.01
EATON CORPORATION PUBLIC LIMITED COMPANY (XNYS:ETN),ETN,EATON CORPORATION PUBLIC LIMITED COMPANY,"Eaton Hse, 30 Pembroke Road, DUBLIN, IRELAND-NA IE",92000,"Machinery, Equipment & Components",2012,New York Stock Exchange,USD,231.61,229.57,2.04,0.89%,229.57,232.54,229.14,233.98,129.85,399000000,1699349.00,1816358,1.11,92412390000,33.93,Stock,9/6/23 23:48,2012-12-03,NA,NA,4076000000,6360000000,0.46
EBAY INC. (XNAS:EBAY),EBAY,EBAY INC.,"2025 Hamilton Avenue, SAN JOSE, CA, 95125 US",11600,Software & IT Services,1998,Nasdaq Stock Market,USD,44.12,44.29,-0.17,-0.38%,44.17,44.32,43.43,52.23,35.92,532157400,4617287.00,4570012,1.35,23478784488,17.86,Stock,9/6/23 23:43,1998-09-23,NA,2154000000,90000000,4271000000,0.07
ECOLAB INC. (XNYS:ECL),ECL,ECOLAB INC.,"1 Ecolab Place, SAINT PAUL, MN, 55102 US",47000,Chemicals,1924,New York Stock Exchange,USD,181.62,182.09,-0.47,-0.26%,182.02,182.71,181.06,191.41,131.04,285033900,693933.00,1033186,1.02,51767856918,44.34,Stock,9/6/23 23:00,1957-01-01,1091700000,598600000,2698100000,NA,0.25
EDISON INTERNATIONAL (XNYS:EIX),EIX,EDISON INTERNATIONAL,"PO Box 800, 2244 Walnut Grove Ave, ROSEMEAD, CA, 91770 US",13388,Electrical Utilities & IPPs,1987,New York Stock Exchange,USD,67.73,67.23,0.50,0.74%,67.34,67.94,67.04,74.92,54.45,383288800,1760523.00,1317575,0.83,25960150424,35.50,Stock,9/6/23 23:28,1926-05-27,824000000,914000000,1695000000,NA,0.06
EDWARDS LIFESCIENCES CORPORATION (XNYS:EW),EW,EDWARDS LIFESCIENCES CORPORATION,"One Edwards Way, IRVINE, CA, 92614 US",17300,Healthcare Equipment & Supplies,1999,New York Stock Exchange,USD,76.96,75.97,0.99,1.30%,76.14,77.16,75.78,98.35,67.13,607916300,3396297.00,3326145,1.04,46785238448,33.66,Stock,9/6/23 23:49,2000-03-27,NA,769000000,643000000,1022400000,0.02
ELECTRONIC ARTS INC. (XNAS:EA),EA,ELECTRONIC ARTS INC.,"209 Redwood Shores Pkwy, REDWOOD CITY, CA, 94065 US",13400,Software & IT Services,1991,Nasdaq Stock Market,USD,120.90,121.50,-0.60,-0.49%,121.40,121.47,119.84,140.30,108.53,270911700,2273382.00,2190607,0.90,32753224530,37.60,Stock,9/6/23 23:00,1989-01-09,NA,2424000000,684000000,3285000000,-0.01
ELI LILLY AND COMPANY (XNYS:LLY),LLY,ELI LILLY AND COMPANY,"Lilly Corporate Ctr, Drop Code 1094, Lilly Corporate Ctr, INDIANAPOLIS, IN, 46285-0001 US",39000,Pharmaceuticals,1901,New York Stock Exchange,USD,559.95,558.19,1.76,0.32%,561.02,561.59,552.70,561.93,296.32,949295200,2424252.00,3017624,0.32,531557847240,77.55,Stock,9/6/23 23:59,1970-07-09,6244800000,2067000000,6896000000,NA,0.53
EMERSON ELECTRIC CO. (XNYS:EMR),EMR,EMERSON ELECTRIC CO.,"Po Box 4100, 8000 W Florissant Ave, ST. LOUIS, MO, 63136-8506 US",85500,"Machinery, Equipment & Components",1890,New York Stock Exchange,USD,98.67,97.88,0.79,0.81%,97.73,98.95,97.51,99.65,72.41,571500000,2406288.00,2684663,1.39,56389905000,26.03,Stock,9/6/23 23:58,1944-09-05,3231000000,NA,4407000000,NA,0.02
ENTERGY CORPORATION (XNYS:ETR),ETR,ENTERGY CORPORATION,"639 Loyola Ave, NEW ORLEANS, LA, 70113 US",11707,Electrical Utilities & IPPs,1992,New York Stock Exchange,USD,93.85,92.67,1.18,1.27%,92.87,93.98,92.48,122.11,91.80,211455600,1423377.00,1528267,0.65,19845108060,14.12,Stock,9/6/23 23:57,1949-05-31,NA,NA,NA,NA,-0.18
"EOG RESOURCES, INC. (XNYS:EOG)",EOG,"EOG RESOURCES, INC.","1111 Bagby, Sky Lobby 2, HOUSTON, TX, 77002 US",2850,Oil & Gas,1985,New York Stock Exchange,USD,133.12,133.39,-0.27,-0.20%,133.24,134.44,132.03,147.74,98.52,582260900,2015554.00,2562917,1.56,77510571008,8.98,Stock,9/6/23 23:32,1989-10-04,NA,5972000000,2774000000,5513000000,0.03
EQT CORPORATION (XNYS:EQT),EQT,EQT CORPORATION,"SUITE 1700, 625 LIBERTY AVENUE, PITTSBURGH, PA, 15222 US",744,Oil & Gas,2008,New York Stock Exchange,USD,42.33,43.21,-0.88,-2.04%,42.97,43.48,42.00,51.97,28.11,411257500,5157802.00,4750930,1.23,17408529975,5.36,Stock,9/6/23 23:45,1950-06-05,NA,1458644000,1608089000,NA,0.28
EQUIFAX INC. (XNYS:EFX),EFX,EQUIFAX INC.,"1550 Peachtree St NW, ATLANTA, GA, 30309-2402 US",14000,Professional & Commercial Services,1913,New York Stock Exchange,USD,204.19,204.06,0.13,0.06%,204.15,206.74,203.91,240.35,145.98,122720100,559036.00,787133,1.44,25058217219,48.03,Stock,9/6/23 23:00,1971-05-11,696200000,NA,857700000,NA,0.05
