Stock,Ticker,Name,Headquarters,Employees,Industry,Incorporated,Exchange,Currency,Price,Previous Close,Change,% Change,Open,Day's High,Day's Low,52 Week High,52 Week Low,Shares Outstanding,Volume,Average Volume,Beta,Market Cap,P/E,Insturment,Last Trade Time,IPO Date,Net Income 2022,Cash 2022,Accounts Receivable 2022,Current Liabilities 2022,Average Daily Return
HARGREAVES SERVICES PLC (XLON:HSP),HSP,HARGREAVES SERVICES PLC,"West Terrace, Esh Winning, DURHAM, DURHAM, DH7 9PT GB",1230,Freight & Logistics Services,2003,London Stock Exchange,GBp,472.50,469.00,3.50,0.75%,465.00,475.00,465.00,490.00,305.55,32552000,34708.00,22230,1.37,152668900,5.46,Stock,9/6/23 15:28,No data,NA,NA,NA,NA,No data
"HARLEY-DAVIDSON, INC. (XNYS:HOG)",HOG,"HARLEY-DAVIDSON, INC.","3700 W JUNEAU AVE, MILWAUKEE, WI, 53208 US",6300,Automobiles & Auto Parts,1991,New York Stock Exchange,USD,34.58,33.52,1.06,3.16%,34.07,35.16,34.07,51.77,30.85,141686800,1582048.00,1074406,1.43,4899529544,6.30,Stock,9/6/23 23:09,1987-07-01,741408000,1433175000,2034856000,3533907000,-0.19
"Hasbro, Inc. (XNAS:HAS)",HAS,"Hasbro, Inc.","1027 Newport Ave, PO Box 1059, PAWTUCKET, RI, 02861-2539 US",6490,Leisure Products,1926,Nasdaq Stock Market,USD,72.92,72.64,0.28,0.39%,72.64,73.58,72.46,83.25,45.75,138740900,2374149.00,1737008,0.71,10116986428,74.22,Stock,9/6/23 22:53,1968-10-10,203500000,498600000,1132400000,2189700000,0.19
"HASHICORP, INC. (XNAS:HCP)",HCP,"HASHICORP, INC.","101 Second Street, Suite 200, SAN FRANCISCO, CA, 94105 US",2400,Software & IT Services,2013,Nasdaq Stock Market,USD,26.87,27.82,-0.95,-3.41%,27.61,28.32,26.63,37.31,21.50,193887700,2382696.00,1608252,2.59,5209762499,NA,Stock,9/6/23 22:53,2021-12-09,-274298000,1286134000,162369000,380849000,0.02
"HELMERICH & PAYNE, INC. (XNYS:HP)",HP,"HELMERICH & PAYNE, INC.","1437 S. Boulder Ave., Suite 1400, TULSA, OK, 74119 US",8000,Oil & Gas Related Equipment and Services,1944,New York Stock Exchange,USD,42.22,42.56,-0.34,-0.80%,42.39,42.88,41.52,53.45,30.00,99426530,1060050.00,1141193,1.71,4197788096,11.21,Stock,9/6/23 23:00,1963-03-20,6953000,232131000,458713000,394810000,-0.14
HESS CORPORATION (XNYS:HES),HES,HESS CORPORATION,"1185 AVENUE OF THE AMERICAS, NEW YORK, NY, 10036 US",1623,Oil & Gas,1920,New York Stock Exchange,USD,157.81,157.83,-0.02,-0.01%,157.01,158.95,156.59,160.52,100.34,307061000,1430128.00,1367441,1.59,48457296410,32.93,Stock,9/6/23 23:00,1926-03-15,2096000000,2486000000,1041000000,2396000000,0.11
Hochtief AG (XFRA:HOT),HOT,Hochtief AG,"Alfredstrasse 236, ESSEN, NORDRHEIN-WESTFALEN, 45133 DE",40521,Construction & Engineering,2001,Deutsche Boerse AG,EUR,96.55,96.85,-0.30,-0.31%,96.70,97.25,96.25,160.20,42.04,77711300,448.00,62310,1.38,7642906000,14.45,Stock,9/6/23 20:05,No data,NA,NA,NA,NA,No data
HONEYWELL INTERNATIONAL INC. (XNAS:HON),HON,HONEYWELL INTERNATIONAL INC.,"855 S. Mint Street, CHARLOTTE, NC, 28202 US",97000,Consumer Goods Conglomerates,1999,Nasdaq Stock Market,USD,184.51,185.70,-1.19,-0.64%,185.04,185.83,183.63,220.96,166.63,663961400,2228925.00,2433471,1.08,122507517914,22.98,Stock,9/6/23 23:50,1985-09-19,4966000000,9627000000,7440000000,19938000000,-0.13
HORMEL FOODS CORPORATION (XNYS:HRL),HRL,HORMEL FOODS CORPORATION,"1 Hormel Pl, AUSTIN, MN, 55912-3680 US",20000,Food & Tobacco,1928,New York Stock Exchange,USD,37.25,37.65,-0.40,-1.06%,37.69,37.83,37.24,49.73,37.24,546481100,2451215.00,1935116,0.19,20356420975,23.58,Stock,9/6/23 23:32,1990-01-16,999987000,982107000,867593000,1473266000,-0.17
"HOST HOTELS & RESORTS, INC. (XNAS:HST)",HST,"HOST HOTELS & RESORTS, INC.","4747 Bethesda Avenue, Suite 1300, BETHESDA, MD, 20814 US",165,Residential & Commercial REIT,1998,Nasdaq Stock Market,USD,15.97,15.90,0.07,0.44%,15.83,16.08,15.81,19.42,14.51,711604900,6661430.00,8978991,1.32,11364330253,15.01,Stock,9/6/23 20:02,1998-12-29,633000000,667000000,413000000,940000000,-0.01
HP INC. (XNYS:HPQ),HPQ,HP INC.,"1501 Page Mill Rd, PALO ALTO, CA, 94304-1126 US",58000,"Computers, Phones & Household Electronics",1998,New York Stock Exchange,USD,30.13,30.14,-0.01,-0.03%,29.96,30.31,29.84,33.90,24.08,985956100,6534710.00,6326004,1.03,29706857293,13.06,Stock,9/6/23 23:49,1961-03-17,3203000000,3145000000,4546000000,26153000000,0.12
HUMANA INC. (XNYS:HUM),HUM,HUMANA INC.,"500 W Main St, LOUISVILLE, KY, 40202 US",67100,Healthcare Providers & Services,1964,New York Stock Exchange,USD,465.07,470.22,-5.15,-1.10%,469.39,470.94,461.88,571.30,423.29,123906800,956509.00,1064909,0.66,58263430000,17.55,Stock,9/6/23 23:00,1971-05-18,2806000000,5061000000,NA,8370000000,-0.08
HUNTINGTON BANCSHARES INCORPORATED (XNAS:HBAN),HBAN,HUNTINGTON BANCSHARES INCORPORATED,"41 South High Street, COLUMBUS, OH, 43287 US",20198,Banking Services,1966,Nasdaq Stock Market,USD,10.92,11.16,-0.24,-2.15%,11.08,11.09,10.84,15.74,9.13,1447882000,12687111.00,10257483,1.10,16158370000,7.20,Stock,9/6/23 23:51,1980-03-17,2238000000,NA,NA,401000000,-0.21
ILLINOIS TOOL WORKS INC. (XNYS:ITW),ITW,ILLINOIS TOOL WORKS INC.,"155 Harlem Ave, 3600 WEST LAKE AVE, GLENVIEW, IL, 60026-1215 US",46000,Consumer Goods Conglomerates,1961,New York Stock Exchange,USD,244.20,242.35,1.85,0.76%,241.75,244.69,241.75,264.19,180.27,302390300,871208.00,991469,1.16,73843711260,23.99,Stock,9/6/23 23:00,1973-03-13,NA,NA,NA,NA,0.10
Industrie De Nora SpA (XMIL:DNR),DNR,Industrie De Nora SpA,"Via Leonardo Bistolfi, 35, MILANO, MILANO, 20134 IT",1983,"Machinery, Equipment & Components",NA,Borsa Italiana,EUR,17.82,17.97,-0.15,-0.83%,17.86,18.05,17.70,21.70,13.23,51203980,83993.00,73920,NA,920135500,37.46,Stock,9/6/23 16:00,No data,NA,NA,NA,NA,No data
INGERSOLL RAND INC. (XNYS:IR),IR,INGERSOLL RAND INC.,"525 HARBOUR PLACE DRIVE, SUITE 600, DAVIDSON, NC, 28036 US",17000,"Machinery, Equipment & Components",2013,New York Stock Exchange,USD,70.01,68.44,1.57,2.29%,68.30,70.05,68.25,70.65,42.20,404399500,3655463.00,2479896,1.44,28312008995,40.69,Stock,9/6/23 23:00,2017-05-12,604700000,NA,NA,NA,0.31
Inmobiliaria Colonial SOCIMI SA (BMEX:COL),COL,Inmobiliaria Colonial SOCIMI SA,"Avenida Diagonal 532, BARCELONA, BARCELONA, 08006 ES",232,Residential & Commercial REIT,NA,Bolsas y Mercados Espanoles,EUR,5.51,5.49,0.02,0.36%,5.46,5.58,5.46,6.94,4.46,539615700,530774.00,717720,1.12,2962490000,386.33,Stock,9/6/23 16:01,No data,NA,NA,NA,NA,No data
InnoTec TSS AG (XFRA:TSS),TSS,InnoTec TSS AG,"Grunerstr. 62, DUESSELDORF, NORDRHEIN-WESTFALEN, 40239 DE",763,Homebuilding & Construction Supplies,2001,Deutsche Boerse AG,EUR,7.82,8.04,-0.22,-2.74%,7.80,7.82,7.80,17.50,6.90,9570000,142.00,350,0.80,76942800,8.81,Stock,9/6/23 20:05,No data,NA,NA,NA,NA,No data
INTEL CORPORATION (XNAS:INTC),INTC,INTEL CORPORATION,"RNB-4-151, 2200 MISSION COLLEGE BLVD, SANTA CLARA, CA, 95054 US",131900,Semiconductors & Semiconductor Equipment,1989,Nasdaq Stock Market,USD,36.98,36.71,0.27,0.74%,36.56,37.04,36.03,37.41,24.59,4188000000,39643390.00,32134408,0.88,154872240000,15.36,Stock,9/6/23 23:58,1971-10-13,8014000000,NA,NA,NA,0.39
"INTERCONTINENTAL EXCHANGE, INC. (XNYS:ICE)",ICE,"INTERCONTINENTAL EXCHANGE, INC.","5660 New Northside Drive, Third Floor, ATLANTA, GA, 30328 US",9116,Investment Banking & Investment Services,2013,New York Stock Exchange,USD,113.61,114.64,-1.03,-0.90%,114.86,115.00,112.32,118.79,88.60,560301400,3594199.00,2477558,0.94,63655842054,38.12,Stock,9/6/23 23:00,2005-11-16,1446000000,NA,1169000000,NA,0.12
INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM),IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,"1 New Orchard Rd, ARMONK, NY, 10504 US",311300,Software & IT Services,1911,New York Stock Exchange,USD,148.06,148.13,-0.07,-0.05%,147.66,148.33,147.12,153.21,115.55,911006200,2932203.00,3629331,0.85,134947400000,72.23,Stock,9/6/23 23:59,1915-11-11,1639000000,NA,NA,NA,0.05
INTERNATIONAL FLAVORS & FRAGRANCES INC. (XNYS:IFF),IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC.,"521 W 57TH ST, NEW YORK, NY, 10019 US",24600,Food & Tobacco,1909,New York Stock Exchange,USD,70.99,70.73,0.26,0.37%,70.64,71.26,70.27,118.97,62.11,255252600,1619596.00,2564104,1.13,18120382074,NA,Stock,9/6/23 23:00,1964-03-02,-1871000000,NA,NA,NA,-0.33
INTERNATIONAL GAME TECHNOLOGY PLC (XNYS:IGT),IGT,INTERNATIONAL GAME TECHNOLOGY PLC,"10 Finsbury Square, Third Floor, LONDON, UNITED KINGDOM-NA, EC2A 1AF GB",10786,Hotels & Entertainment Services,2014,New York Stock Exchange,USD,31.64,31.62,0.02,0.06%,31.49,31.68,31.35,33.99,15.01,200293000,465759.00,941007,1.98,6337270520,23.96,Stock,9/6/23 23:22,2015-04-07,275000000,NA,NA,NA,0.39
INTERNATIONAL PAPER COMPANY (XNYS:IP),IP,INTERNATIONAL PAPER COMPANY,"6400 Poplar Ave, MEMPHIS, TN, 38197 US",39000,Containers & Packaging,1941,New York Stock Exchange,USD,33.88,34.32,-0.44,-1.28%,34.26,34.41,33.75,42.69,29.01,345999100,2295308.00,2451014,1.07,11722449508,9.70,Stock,9/6/23 23:17,1941-10-06,1504000000,NA,NA,NA,-0.01
INTUIT INC. (XNAS:INTU),INTU,INTUIT INC.,"2700 Coast Avenue, MOUNTAIN VIEW, CA, 94043 US",18200,Financial Technology (Fintech) & Infrastructure,1993,Nasdaq Stock Market,USD,550.95,550.58,0.37,0.07%,549.42,553.62,545.61,555.00,352.63,280259500,1236979.00,1304724,1.18,154408971525,65.35,Stock,9/6/23 23:57,1993-03-12,2066000000,NA,NA,3630000000,0.41
"INTUITIVE SURGICAL, INC. (XNAS:ISRG)",ISRG,"INTUITIVE SURGICAL, INC.","1020 Kifer Road, SUNNYVALE, CA, 94086 US",12120,Healthcare Equipment & Supplies,1995,Nasdaq Stock Market,USD,307.84,307.68,0.16,0.05%,309.48,309.65,303.80,358.07,180.07,351354700,1171433.00,1596382,1.30,108161030847,77.21,Stock,9/6/23 23:55,2000-06-13,1322300000,NA,NA,NA,0.16
INVESCO LTD. (XNYS:IVZ),IVZ,INVESCO LTD.,"1331 SPRING STREET NW, SUITE 2500, ATLANTA, GA, 30309 US",8621,Investment Banking & Investment Services,2007,New York Stock Exchange,USD,15.55,15.69,-0.14,-0.89%,15.60,15.75,15.42,20.56,13.20,448620500,2226686.00,3153732,1.40,6976048775,11.17,Stock,9/6/23 23:47,1995-08-25,920700000,NA,NA,NA,-0.13
IRON MOUNTAIN INCORPORATED (XNYS:IRM),IRM,IRON MOUNTAIN INCORPORATED,"85 New Hampshire Avenue, Suite 150, Pease International Tradeport, PORTSMOUTH, NH, 03801 US",27600,Residential & Commercial REIT,2014,New York Stock Exchange,USD,64.02,63.28,0.74,1.17%,63.24,64.11,63.03,64.20,43.33,291852400,1348069.00,1177484,0.94,18684390648,48.84,Stock,9/6/23 23:00,1996-02-01,556981000,NA,NA,NA,0.27
JABIL INC. (XNYS:JBL),JBL,JABIL INC.,"10800 Roosevelt Boulevard North, ST PETERSBURG, FL, 33716 US",250000,Electronic Equipment & Parts,1992,New York Stock Exchange,USD,111.68,112.76,-1.08,-0.96%,112.45,114.06,110.64,117.29,55.26,130881400,985283.00,1395784,1.46,14616834752,15.87,Stock,9/6/23 23:58,1998-05-05,996000000,NA,NA,NA,0.65
JOHNSON & JOHNSON (XNYS:JNJ),JNJ,JOHNSON & JOHNSON,"One Johnson & Johnson Plaza, NEW BRUNSWICK, NJ, 08933 US",152700,Pharmaceuticals,1887,New York Stock Exchange,USD,158.01,160.68,-2.67,-1.66%,159.84,160.00,157.35,181.04,150.11,2408014000,9753833.00,44089102,0.55,380490292140,32.56,Stock,9/6/23 23:55,1944-09-25,17941000000,NA,NA,NA,-0.09
JOHNSON CONTROLS INTERNATIONAL PLC (XNYS:JCI),JCI,JOHNSON CONTROLS INTERNATIONAL PLC,"One Albert Quay, Albert Quay, CORK, CORK IE",102000,"Machinery, Equipment & Components",2014,New York Stock Exchange,USD,57.58,58.35,-0.77,-1.32%,58.30,58.50,57.36,70.43,48.82,680320000,5838318.00,4273790,1.26,39172825600,19.49,Stock,9/6/23 23:53,1991-08-22,NA,2031000000,NA,NA,-0.09
JOURNEY ENERGY INC. (XTSE:JOY),JOY,JOURNEY ENERGY INC.,"700, 517 - 10th Avenue SW, CALGARY, AB, T2R 0A8 CA",42,Oil & Gas,2012,Toronto Stock Exchange,CAD,5.85,5.82,0.03,0.52%,5.76,5.88,5.74,6.61,4.22,60922510,163210.00,111610,3.53,356396683,3.71,Stock,9/6/23 20:00,No data,NA,NA,NA,NA,No data
JPMORGAN CHASE & CO. (XNYS:JPM),JPM,JPMORGAN CHASE & CO.,"383 Madison Avenue, NEW YORK, NY, 10179 US",300066,Banking Services,1968,New York Stock Exchange,USD,144.96,145.20,-0.24,-0.17%,144.70,145.54,144.11,159.38,101.28,2906085000,8629164.00,7403062,1.10,421266081600,9.34,Stock,9/6/23 23:58,1969-03-05,NA,NA,NA,325300000000,0.08
"JUNIPER NETWORKS, INC. (XNYS:JNPR)",JNPR,"JUNIPER NETWORKS, INC.","1133 Innovation Way, SUNNYVALE, CA, 94089 US",10901,Communications & Networking,1997,New York Stock Exchange,USD,29.25,29.01,0.24,0.83%,28.90,29.36,28.75,34.53,25.18,321360100,3024237.00,3481799,0.91,9399782925,23.20,Stock,9/6/23 23:00,1999-06-25,471000000,880100000,NA,NA,-0.09
JURA ENERGY CORPORATION (XTSX:JEC),JEC,JURA ENERGY CORPORATION,"Suite 2100, 144 - 4th Avenue SW, CALGARY, AB, T2P 3N4 CA",37,Oil & Gas,2002,TSX Venture Exchange,CAD,0.06,0.06,0.00,0.00%,0.06,0.06,0.06,0.20,0.04,69076330,3000.00,NA,3.12,4144579,NA,Stock,8/17/23 19:08,No data,NA,NA,NA,NA,No data
KELLOGG COMPANY (XNYS:K),K,KELLOGG COMPANY,"P O BOX 3599, ONE KELLOGG SQ, BATTLE CREEK, MI, 49016-3599 US",30000,Food & Tobacco,1922,New York Stock Exchange,USD,59.30,59.47,-0.17,-0.29%,59.63,59.82,59.21,77.17,59.21,342346700,1974011.00,2323717,0.43,20301159310,23.63,Stock,9/6/23 23:00,1952-01-09,NA,299000000,NA,NA,-0.17
KEYCORP (XNYS:KEY),KEY,KEYCORP,"127 Public Sq, CLEVELAND, OH, 44114-1306 US",17754,Banking Services,1958,New York Stock Exchange,USD,11.09,11.47,-0.38,-3.31%,11.32,11.47,11.00,20.30,8.54,935918900,10235810.00,12711896,1.27,10379340601,7.65,Stock,9/6/23 23:56,1980-03-17,1917000000,NA,NA,4032000000,-0.34
KIMBERLY-CLARK CORPORATION (XNYS:KMB),KMB,KIMBERLY-CLARK CORPORATION,"351 Phelps Dr, IRVING, TX, 75038 US",44000,Personal & Household Products & Services,1928,New York Stock Exchange,USD,126.59,127.02,-0.43,-0.34%,126.95,127.94,126.59,147.87,108.74,338185200,2135991.00,1450008,0.41,42810864468,26.18,Stock,9/6/23 23:07,1929-05-09,NA,NA,2091000000,7334000000,-0.06
KIMCO REALTY CORPORATION. (XNYS:KIM),KIM,KIMCO REALTY CORPORATION.,"500 North Broadway, Suite 201, P.O. Box 9010, JERICHO, NY, 11753 US",639,Residential & Commercial REIT,2022,New York Stock Exchange,USD,18.62,18.30,0.32,1.75%,18.32,18.64,18.26,23.27,17.34,619874600,5573960.00,4503178,1.46,11486280000,30.08,Stock,9/6/23 23:28,1991-11-22,NA,149829000,NA,NA,-0.13
"KINDER MORGAN, INC. (XNYS:KMI)",KMI,"KINDER MORGAN, INC.","1001 Louisiana Street, Suite 1000, HOUSTON, TX, 77002 US",10525,Oil & Gas Related Equipment and Services,2006,New York Stock Exchange,USD,16.63,17.07,-0.44,-2.58%,17.02,17.02,16.59,19.36,16.00,2228165000,17046799.00,10896404,0.93,37054383950,15.36,Stock,9/6/23 23:51,2011-02-11,2548000000,NA,NA,6930000000,-0.06
KLA Corporation (XNAS:KLAC),KLAC,KLA Corporation,"1 Technology Dr, MILPITAS, CA, 95035-7916 US",15000,Semiconductors & Semiconductor Equipment,1975,Nasdaq Stock Market,USD,513.47,512.55,0.92,0.18%,509.35,520.19,506.71,520.19,250.20,136720100,714571.00,866050,1.35,70201669747,21.27,Stock,9/6/23 23:46,1980-10-08,3387277000,1927865000,NA,NA,0.36
KOHL'S CORPORATION (XNYS:KSS),KSS,KOHL'S CORPORATION,"N56W17000 Ridgewood Dr, MENOMONEE FALLS, WI, 53051-5660 US",36000,Diversified Retail,1993,New York Stock Exchange,USD,24.80,25.10,-0.30,-1.20%,24.79,25.09,24.32,35.77,17.89,110688800,2830687.00,4260857,1.78,2745082240,NA,Stock,9/6/23 23:50,1992-05-19,NA,153000000,NA,3115000000,-0.01
"L3HARRIS TECHNOLOGIES, INC. (XETR:HRS)",HRS,"L3HARRIS TECHNOLOGIES, INC.","1025 W Nasa Blvd, MELBOURNE, FL, 32919-0001 US",46000,Aerospace & Defense,1926,Xetra,EUR,162.80,163.95,-1.15,-0.70%,162.80,162.80,162.80,255.25,161.90,189132700,0.00,1169120,0.72,33525660000,42.25,Stock,9/5/23 21:52,No data,NA,NA,NA,NA,No data
LABORATORY CORPORATION OF AMERICA HOLDINGS (XNYS:LH),LH,LABORATORY CORPORATION OF AMERICA HOLDINGS,"358 S MAIN ST, BURLINGTON, NC, 27215-5837 US",80000,Healthcare Providers & Services,1994,New York Stock Exchange,USD,204.60,204.45,0.15,0.07%,203.14,204.93,201.34,222.41,172.09,88600000,897385.00,760787,1.08,18127560000,23.03,Stock,9/6/23 23:00,1991-04-24,1279100000,430000000,NA,3078500000,0.01
LAM RESEARCH CORPORATION (XNAS:LRCX),LRCX,LAM RESEARCH CORPORATION,"4650 Cushing Blvd, FREMONT, CA, 94538 US",17200,Semiconductors & Semiconductor Equipment,1989,Nasdaq Stock Market,USD,696.24,700.77,-4.53,-0.65%,697.16,708.45,687.74,726.53,299.59,132511700,901281.00,939648,1.49,92259946008,21.14,Stock,9/6/23 22:12,1984-05-11,NA,5337056000,NA,NA,0.67
"LEGGETT & PLATT, INCORPORATED (XNYS:LEG)",LEG,"LEGGETT & PLATT, INCORPORATED","No. 1 Leggett Road, CARTHAGE, MO, 64836 US",19900,Household Goods,1901,New York Stock Exchange,USD,27.03,27.11,-0.08,-0.30%,27.10,27.19,26.59,39.64,26.59,133194500,1102622.00,1061856,1.30,3600247335,15.93,Stock,9/6/23 23:00,1979-06-25,309800000,316500000,609000000,968100000,-0.16
LENNAR CORPORATION (XNYS:LEN),LEN,LENNAR CORPORATION,"5505 BLUE LAGOON DRIVE, MIAMI, FL, 33126 US",12012,Homebuilding & Construction Supplies,1991,New York Stock Exchange,USD,116.94,114.73,2.21,1.93%,115.49,117.07,115.00,133.24,69.90,322320000,1639408.00,2039226,1.48,36556820000,7.82,Stock,9/6/23 23:59,1972-07-27,NA,NA,NA,NA,0.27
"LIFE STORAGE, INC. (XNYS:LSI)",LSI,"LIFE STORAGE, INC.","6467 MAIN ST, WILLIAMSVILLE, NY, 14221 US",2508,Residential & Commercial REIT,1995,New York Stock Exchange,USD,133.10,134.12,0.00,0.00%,135.00,139.20,132.94,146.66,94.02,85093810,7208602.00,672330,0.63,11325986111,31.23,Stock,7/19/23 23:00,1995-06-21,NA,NA,NA,NA,0.41
LINCOLN NATIONAL CORPORATION (XNYS:LNC),LNC,LINCOLN NATIONAL CORPORATION,"150 N RADNOR CHESTER RD, RADNOR, PA, 19087 US",11316,Insurance,1968,New York Stock Exchange,USD,25.52,25.34,0.18,0.71%,25.17,25.77,25.09,54.59,18.50,169638100,2431508.00,2114595,1.81,4329164312,6.73,Stock,9/6/23 23:28,1969-08-20,NA,NA,NA,NA,-0.18
Lisi SA (XPAR:FII),FII,Lisi SA,"Le Millenium, 18 rue Albert Camus, CS 70431, BELFORT Cedex, BELFORT, BOURGOGNE-FRANCHE-COMTE, 90008 FR",9839,Aerospace & Defense,1983,Euronext Paris,EUR,22.30,22.40,-0.10,-0.45%,22.40,22.40,22.20,27.00,17.08,46538310,4165.00,15820,2.03,1042458000,30.08,Stock,9/6/23 16:00,No data,NA,NA,NA,NA,No data
LOCKHEED MARTIN CORPORATION (XNYS:LMT),LMT,LOCKHEED MARTIN CORPORATION,"6801 ROCKLEDGE DR, BETHESDA, MD, 20817 US",116000,Aerospace & Defense,1994,New York Stock Exchange,USD,423.94,445.19,-21.25,-4.77%,440.24,441.34,423.66,508.10,381.55,251831500,2547965.00,834986,0.65,106761446110,16.27,Stock,9/6/23 23:59,1961-10-11,NA,NA,NA,NA,-0.08
LOEWS CORPORATION (XNYS:L),L,LOEWS CORPORATION,"9 West 57Th Street, NEW YORK, NY, 10019-2714 US",12050,Insurance,1969,New York Stock Exchange,USD,61.72,61.73,-0.01,-0.02%,61.47,61.99,61.29,63.93,49.36,225508700,754882.00,574460,0.84,13918396964,11.75,Stock,9/6/23 23:00,1959-03-13,NA,NA,NA,NA,0.06
"LOWE'S COMPANIES, INC. (XNYS:LOW)",LOW,"LOWE'S COMPANIES, INC.","1000 Lowes Blvd, MOORESVILLE, NC, 28117-8520 US",182000,Specialty Retailers,1952,New York Stock Exchange,USD,229.61,230.43,-0.82,-0.36%,230.24,231.19,228.78,237.21,176.50,577115200,2123857.00,2322632,1.08,132511421072,22.31,Stock,9/6/23 23:55,1979-12-19,NA,NA,NA,NA,0.16
LUKARDI S.A. (XWAR:LUK),LUK,LUKARDI S.A.,"ul. Teczowa 3, POZNAN, WOJ. WIELKOPOLSKIE, 60-275 PL",NA,Software & IT Services,2015,Warsaw Stock Exchange,PLN,0.55,0.57,-0.03,-4.39%,0.57,0.57,0.55,1.14,0.51,58503470,8204.00,1930,0.93,33346980,300.00,Stock,9/6/23 15:00,No data,NA,NA,NA,NA,No data
M&T BANK CORPORATION (XNYS:MTB),MTB,M&T BANK CORPORATION,"One M&T Plaza, BUFFALO, NY, 14203 US",22210,Banking Services,1969,New York Stock Exchange,USD,121.79,123.81,-2.02,-1.63%,123.09,123.92,120.95,192.56,109.36,165948600,777086.00,742688,0.81,20210879994,7.31,Stock,9/6/23 23:00,1980-03-17,NA,NA,NA,NA,-0.15
"MACY'S, INC. (XETR:FDO)",FDO,"MACY'S, INC.","151 West 34Th Street, NEW YORK, NY, 10001 US",94570,Diversified Retail,1985,Xetra,EUR,11.08,11.35,-0.27,-2.38%,11.13,11.13,11.08,25.10,11.01,273634200,157.00,17407840,1.91,3283611000,4.72,Stock,9/6/23 21:49,No data,NA,NA,NA,NA,No data
"MACY'S, INC. (XNYS:M)",M,"MACY'S, INC.","151 West 34Th Street, NEW YORK, NY, 10001 US",94570,Diversified Retail,1985,New York Stock Exchange,USD,11.82,12.00,-0.18,-1.50%,11.93,12.04,11.73,25.12,11.73,273634200,10039963.00,12422835,1.91,3234356244,4.64,Stock,9/6/23 23:59,1992-02-05,NA,NA,NA,NA,-0.42
MARATHON OIL CORPORATION (XNYS:MRO),MRO,MARATHON OIL CORPORATION,"PO Box 3128, HOUSTON, TX, 77253-3128 US",1570,Oil & Gas,2001,New York Stock Exchange,USD,27.09,27.16,-0.07,-0.26%,27.01,27.37,26.75,33.42,20.57,605687200,9194593.00,9881990,2.38,16408066248,6.67,Stock,9/6/23 23:54,1965-11-26,NA,NA,NA,NA,0.00
MARATHON PETROLEUM CORPORATION (XNYS:MPC),MPC,MARATHON PETROLEUM CORPORATION,"539 S Main St, FINDLAY, OH, 45840-3229 US",17800,Oil & Gas,2009,New York Stock Exchange,USD,147.89,147.02,0.87,0.59%,146.65,148.60,146.02,149.76,89.40,399844100,2593758.00,3670473,1.61,59132943948,5.37,Stock,9/6/23 23:52,2011-06-23,NA,NA,NA,NA,0.26
"MARRIOTT INTERNATIONAL, INC. (XNAS:MAR)",MAR,"MARRIOTT INTERNATIONAL, INC.","7750 WISCONSIN AVENUE, BETHESDA, MD, 20814 US",140000,Hotels & Entertainment Services,1997,Nasdaq Stock Market,USD,202.42,201.03,1.39,0.69%,200.08,203.39,199.51,210.98,135.90,298239600,1487270.00,2075465,1.60,60369659832,22.68,Stock,9/6/23 23:39,1998-03-23,NA,NA,NA,NA,0.35
"MARSH & MCLENNAN COMPANIES, INC. (XNYS:MMC)",MMC,"MARSH & MCLENNAN COMPANIES, INC.","1166 Avenue of the Americas, NEW YORK, NY, 10036 US",85000,Insurance,1969,New York Stock Exchange,USD,193.93,192.96,0.97,0.50%,192.47,194.45,191.77,197.79,148.11,493953700,1033929.00,1250344,0.93,95792441041,29.42,Stock,9/6/23 23:39,1969-06-04,NA,NA,NA,NA,0.17
MASCO CORPORATION (XNYS:MAS),MAS,MASCO CORPORATION,"17450 College Parkway, LIVONIA, MI, 48152 US",19000,Homebuilding & Construction Supplies,1962,New York Stock Exchange,USD,57.68,57.28,0.40,0.70%,57.13,58.18,56.95,63.86,42.33,224926100,2104762.00,1330296,1.24,12883760000,16.21,Stock,9/6/23 23:00,1969-05-05,NA,NA,NA,NA,0.23
MASTERCARD INCORPORATED. (XNYS:MA),MA,MASTERCARD INCORPORATED.,"2000 Purchase St, PURCHASE, NY, 10577-2405 US",29900,Software & IT Services,2001,New York Stock Exchange,USD,413.18,411.50,1.68,0.41%,410.78,413.38,408.89,417.78,276.87,942212300,2292121.00,2031892,1.09,389303278114,38.55,Stock,9/6/23 23:47,2006-05-25,NA,NA,NA,NA,0.18
"MATTEL, INC. (XNAS:MAT)",MAT,"MATTEL, INC.","333 CONTINENTAL BLVD, EL SEGUNDO, CA, 90245 US",33900,Leisure Products,1968,Nasdaq Stock Market,USD,22.30,22.25,0.05,0.22%,22.15,22.37,22.05,24.20,15.36,354139500,2389494.00,2533366,1.20,7897310850,35.56,Stock,9/6/23 23:48,1963-08-12,NA,NA,NA,NA,0.25
"MCCORMICK & COMPANY, INCORPORATED (XNYS:MKC)",MKC,"MCCORMICK & COMPANY, INCORPORATED","24 Schilling Road, HUNT VALLEY, MD, 21031 US",14200,Food & Tobacco,1915,New York Stock Exchange,USD,80.10,80.49,-0.39,-0.48%,80.43,80.63,80.05,94.39,70.60,268326500,812870.00,1018816,0.58,21583130000,31.09,Stock,9/6/23 23:00,1980-03-17,NA,NA,NA,NA,-0.03
